Customer Name,Order Date,Quantity,Sales
Sean Miller,2014-03-31,25,23661.228
Tamara Chand,2016-10-31,18,18336.74
Raymond Buch,2017-03-31,9,14052.48
Tom Ashbrook,2017-10-31,18,13716.458
Sanjit Chand,2014-09-30,19,11694.17
Becky Martin,2014-09-30,37,10539.896
Hunter Lopez,2017-11-30,3,10499.97
Adrian Barton,2016-12-31,13,9892.74
Bill Shonely,2016-04-30,14,9135.19
Sanjit Engle,2016-02-29,20,8805.04
Christopher Conant,2016-05-31,10,8539.02
Ken Lonsdale,2014-07-31,17,8319.289999999999
Grant Thornton,2017-11-30,6,8167.419999999999
Peter Fuller,2015-09-30,40,7678.228
Seth Vernon,2017-09-30,52,7359.918
Tom Boeckenhauer,2014-12-31,4,6999.96
Christopher Martinez,2015-03-31,12,6412.7699999999995
Greg Tran,2014-11-30,13,6160.616
Karen Daniels,2016-03-31,18,6125.822
Sean Braxton,2014-09-30,20,6119.014
Keith Dawkins,2015-11-30,16,5850.514
Andy Reiter,2017-01-31,14,5802.7
Daniel Raglin,2016-10-31,13,5549.41
Todd Sumrall,2017-10-31,10,5509.142
Jane Waco,2017-10-31,17,5345.684
Harry Marie,2015-12-31,20,5327.802000000001
Nick Crebassa,2017-04-30,10,5282.648
Cindy Stewart,2016-11-30,17,5068.6849999999995
Joe Elijah,2016-12-31,16,5008.657999999999
Joseph Airdo,2017-09-30,20,4985.785
Edward Hooks,2016-03-31,5,4940.87
Nora Preis,2014-12-31,32,4904.6065
Caroline Jumper,2016-05-31,32,4835.976
Max Jones,2016-06-30,8,4823.09
Nathan Mautz,2014-11-30,14,4807.372
Dennis Pardue,2016-10-31,12,4685.076
Grace Kelly,2016-12-31,23,4669.524
Cassandra Brandow,2015-08-31,55,4662.553
Cathy Prescott,2017-01-31,19,4619.33
Fred Hopkins,2015-03-31,12,4607.27
Patrick O'Brill,2017-08-31,28,4590.344
John Murray,2014-11-30,7,4548.81
Helen Wasserman,2017-06-30,20,4472.32
Adam Bellavance,2016-09-30,12,4438.686
Tom Prescott,2017-08-31,9,4416.174
Quincy Jones,2015-11-30,6,4409.849999999999
